arm,rep,time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
quicgo,2,108570.72499999999,,188251,,,
quicgo,2,109570.814,190720,185691,34816,,38289
quicgo,2,109602.34599999999,,186971,,,
quicgo,2,109608.047,,188251,,,
quicgo,2,109614.63,,189531,,,
quicgo,2,109640.80099999999,,190811,,,
quicgo,2,110637.382,193280,188251,35391,,39421
quicgo,2,110702.84999999999,,188530,,,
quicgo,2,110712.12800000001,,189810,,,
quicgo,2,110716.988,,191090,,,
quicgo,2,110722.007,,192370,,,
quicgo,2,110744.922,,193650,,,
quicgo,2,111857.641,195840,191090,35922,,39641
quicgo,2,111878.572,,192370,,,
quicgo,2,111882.279,,193650,,,
quicgo,2,111886.09700000001,,194930,,,
quicgo,2,111888.69200000001,,196210,,,
quicgo,2,112633.31,198400,193650,36482,,40409
quicgo,2,112693.257,,194930,,,
quicgo,2,112698.808,,196210,,,
quicgo,2,112704.129,,197490,,,
quicgo,2,112718.587,,198770,,,
quicgo,2,113803.641,200960,196210,36984,,40499
quicgo,2,113918.877,,197490,,,
quicgo,2,113929.989,,198770,,,
quicgo,2,113934.357,,200050,,,
quicgo,2,113936.72200000001,,201330,,,
quicgo,2,114784.78300000001,203520,198770,37555,,41559
quicgo,2,114797.93800000001,,200050,,,
quicgo,2,114800.71399999999,,201330,,,
quicgo,2,114814.962,,202610,,,
quicgo,2,114817.767,,203890,,,
quicgo,2,116073.81700000001,206080,201330,38076,,41725
quicgo,2,116098.52600000001,,202610,,,
quicgo,2,116106.0,,203890,,,
quicgo,2,116128.454,,205170,,,
quicgo,2,116132.873,,206450,,,
quicgo,2,117024.97,208640,203890,38645,,42636
quicgo,2,117052.283,,205170,,,
quicgo,2,117062.51299999999,,206450,,,
quicgo,2,117089.52600000001,,206721,,,
quicgo,2,117352.671,,208001,,,
quicgo,2,117365.376,,209281,,,
quicgo,2,118051.26400000001,,206721,39115,,42406
quicgo,2,118076.844,,208001,,,
quicgo,2,118085.04000000001,,209281,,,
quicgo,2,119073.532,,206721,39666,,43523
quicgo,2,119137.677,,208001,,,
quicgo,2,119143.709,,209281,,,
quicgo,2,119670.56,,207722,40101,,43149
quicgo,2,119685.59000000001,,209002,,,
quicgo,2,120778.66,,206442,40621,,44267
quicgo,2,120904.898,,207722,,,
quicgo,2,120911.15999999999,,209002,,,
quicgo,2,121828.917,,206442,41045,,44014
quicgo,2,121845.64,,207722,,,
quicgo,2,121851.131,,209002,,,
quicgo,2,122835.839,,206442,41539,,44998
quicgo,2,122852.181,,207722,,,
quicgo,2,122855.187,,209002,,,
quicgo,2,123959.755,,206442,42110,,46112
quicgo,2,123985.826,,207722,,,
quicgo,2,123991.427,,209002,,,
quicgo,2,125119.43100000001,,206442,42578,,45860
quicgo,2,125147.73599999999,,207722,,,
quicgo,2,125153.74799999999,,209002,,,
quicgo,2,125972.907,,206442,43096,,46725
quicgo,2,125997.826,,207722,,,
quicgo,2,126002.986,,209002,,,
quicgo,2,127076.708,,206442,43691,,47858
quicgo,2,127093.39,,207722,,,
quicgo,2,127096.557,,209002,,,
quicgo,2,128165.32900000001,,206442,44205,,47804
quicgo,2,128179.056,,207722,,,
quicgo,2,128182.323,,209002,,,
quicgo,2,129125.31000000001,,206442,44784,,48839
quicgo,2,129137.494,,207722,,,
quicgo,2,129140.299,,209002,,,
quicgo,2,130331.29800000001,,206442,45298,,48898
quicgo,2,130358.48100000001,,207722,,,
quicgo,2,130364.17199999999,,208003,,,
quicgo,2,130525.377,,209283,,,
quicgo,2,131413.129,,206723,45882,,49977
quicgo,2,131438.629,,208003,,,
quicgo,2,131443.539,,209283,,,
quicgo,2,132566.745,,206723,46384,,49900
quicgo,2,132588.377,,208003,,,
quicgo,2,132591.824,,209283,,,
quicgo,2,133114.26599999997,,207732,46888,,50420
quicgo,2,133170.91700000002,,209012,,,
quicgo,2,134098.497,,206452,47357,,50646
quicgo,2,134118.316,,207732,,,
quicgo,2,134123.867,,209012,,,
quicgo,2,135070.28600000002,,206452,47892,,51640
quicgo,2,135084.093,,207732,,,
quicgo,2,135087.78,,209012,,,
quicgo,2,136137.13,,206452,48358,,51624
quicgo,2,136150.246,,207732,,,
quicgo,2,136153.462,,209012,,,
quicgo,2,137395.77,,206452,48913,,52804
quicgo,2,137422.96300000002,,207732,,,
quicgo,2,137428.775,,209012,,,
quicgo,2,138353.88,,206452,49398,,52795
quicgo,2,138381.665,,207732,,,
quicgo,2,138387.286,,209012,,,
quicgo,2,139556.055,,206452,49966,,53946
quicgo,2,139614.84999999998,,207732,,,
quicgo,2,139621.75400000002,,209012,,,
quicgo,2,140426.355,,206452,50447,,53818
quicgo,2,140442.085,,207732,,,
quicgo,2,140445.462,,209012,,,
quicgo,2,141474.367,,206452,51000,,54878
quicgo,2,141488.745,,207732,,,
quicgo,2,141492.763,,209012,,,
quicgo,2,142536.521,,206452,51484,,54879
quicgo,2,142549.186,,207732,,,
quicgo,2,142552.763,,209012,,,
quicgo,2,143633.18899999998,,206452,52037,,55912
quicgo,2,143656.715,,207732,,,
quicgo,2,143667.63700000002,,209012,,,
quicgo,2,144766.96899999998,,206452,52505,,55789
quicgo,2,144841.976,,206733,,,
quicgo,2,144851.956,,208013,,,
quicgo,2,144856.274,,209293,,,
quicgo,2,145757.394,,206733,53038,,56773
quicgo,2,145834.034,,208013,,,
quicgo,2,145866.978,,209293,,,
quicgo,2,146925.707,,206462,53506,,56785
quicgo,2,146950.405,,207742,,,
quicgo,2,146956.407,,209022,,,
quicgo,2,147996.674,,206462,54038,,57767
quicgo,2,148014.34900000002,,207742,,,
quicgo,2,148017.27399999998,,209022,,,
quicgo,2,148977.19,,206462,54540,,58058
quicgo,2,148990.677,,207742,,,
quicgo,2,148994.634,,209022,,,
quicgo,2,150053.287,,206462,55113,,59131
quicgo,2,150067.354,,207742,,,
quicgo,2,150087.413,,209022,,,
quicgo,2,151177.77300000002,,206462,55687,,59707
quicgo,2,151310.24300000002,,207742,,,
quicgo,2,151315.55299999999,,209022,,,
quicgo,2,152253.155,,206462,56318,,60736
quicgo,2,152385.725,,207742,,,
quicgo,2,152390.675,,209022,,,
quicgo,2,153489.957,,206462,56885,,60861
quicgo,2,153541.498,,207742,,,
quicgo,2,153546.327,,209022,,,
quicgo,2,154480.49599999998,,206462,57497,,61785
quicgo,2,154519.262,,207742,,,
quicgo,2,154524.80299999999,,209022,,,
quicgo,2,155364.186,,206462,58032,,61777
quicgo,2,155384.486,,207742,,,
quicgo,2,155417.62099999998,,209022,,,
quicgo,2,156422.36800000002,,206462,58633,,62845
quicgo,2,156436.867,,207742,,,
quicgo,2,156440.323,,209022,,,
quicgo,2,157622.207,,206462,59169,,62923
quicgo,2,157646.345,,207742,,,
quicgo,2,157652.847,,209022,,,
quicgo,2,158626.564,,206462,59767,,63956
quicgo,2,158646.493,,206743,,,
quicgo,2,158651.703,,208023,,,
quicgo,2,158655.05,,209303,,,
quicgo,2,159660.46399999998,,206743,60260,,63718
quicgo,2,159685.40300000002,,208023,,,
quicgo,2,159691.845,,209303,,,
quicgo,2,160838.12,,206464,60725,,63981
quicgo,2,160881.03399999999,,207744,,,
quicgo,2,160886.886,,209024,,,
quicgo,2,161836.019,,206464,61258,,64989
quicgo,2,161852.261,,207744,,,
quicgo,2,161856.029,,209024,,,
quicgo,2,162848.332,,206464,61698,,64784
quicgo,2,162863.682,,207744,,,
quicgo,2,162867.77000000002,,209024,,,
quicgo,2,163924.22999999998,,206464,62212,,65812
quicgo,2,164311.147,,207744,,,
quicgo,2,164327.76,,209024,,,
quicgo,2,165139.759,,206464,62703,,66145
quicgo,2,165234.524,,207744,,,
